"playerid","bbrefid","name","player_url"
donneji02,donneji02,Jim Donnelly,https://www.baseball-reference.com/players/d/donneji02.shtml
donnejo01,donnejo01,John Donnelly,https://www.baseball-reference.com/players/d/donnejo01.shtml
dorseje01,dorseje01,Joseph Dorsey,https://www.baseball-reference.com/players/d/dorseje01.shtml
dowcl01,dowcl01,Clarence Dow,https://www.baseball-reference.com/players/d/dowcl01.shtml
doziedj01,dozied.01,D. J. Dozier,https://www.baseball-reference.com/players/d/dozied.01.shtml
drakely01,drakely01,Lyman Drake,https://www.baseball-reference.com/players/d/drakely01.shtml
drewda01,drewda01,Dave Drew,https://www.baseball-reference.com/players/d/drewda01.shtml
drewjd01,drewj.01,J. D. Drew,https://www.baseball-reference.com/players/d/drewj.01.shtml
dreyfba99,dreyfba99,Barney Dreyfuss,https://www.baseball-reference.com/players/d/dreyfba99.shtml
driscde02,driscde02,Dennis Driscoll,https://www.baseball-reference.com/players/d/driscde02.shtml
drissmi01,drissmi01,Mike Drissel,https://www.baseball-reference.com/players/d/drissmi01.shtml
duganbi01,duganbi01,Bill Dugan,https://www.baseball-reference.com/players/d/duganbi01.shtml
duganed01,duganed01,Ed Dugan,https://www.baseball-reference.com/players/d/duganed01.shtml
dunnian01,dunnian01,Andy Dunning,https://www.baseball-reference.com/players/d/dunnian01.shtml
duzenbi01,duzenbi01,Bill Duzen,https://www.baseball-reference.com/players/d/duzenbi01.shtml
dwighal01,dwighal01,Al Dwight,https://www.baseball-reference.com/players/d/dwighal01.shtml
dwyerjo01,dwyerjo01,John Dwyer,https://www.baseball-reference.com/players/d/dwyerjo01.shtml
dylerjo01,dylerjo01,John Dyler,https://www.baseball-reference.com/players/d/dylerjo01.shtml
ebbetch99,ebbetch99,Charlie Ebbets,https://www.baseball-reference.com/players/e/ebbetch99.shtml
edlefst01,edlefst01,Steve Edlefsen,https://www.baseball-reference.com/players/e/edlefst01.shtml
edwar01,edwar01,Edwards,https://www.baseball-reference.com/players/e/edwar01.shtml
